movie_id,movie_name,year,genre,overview,director,cast
tt0378069,Hum Se Badkar Kaun,1981,"adventure, drama",four young boys tragically separated from their parents and each other grow up to become four different men with divergent values and conflicting methods. fate eventually sets their paths for a head on collision.,Deepak Bahry,"Ranjeet Bedi, Birbal, Mithun Chakraborty, Mohan Choti"
tt9343754,Eeb Allay Ooo!,2019,"comedy, drama",a young migrant battles hordes of monkeys in the heart of new delhi as a contractual monkey repeller.,Prateek Vats,"Shardul Bharadwaj, Mahender Nath, Nutan Sinha, Shashi Bhushan"
tt0267548,Haseena Maan Jaayegi,1999,"action, comedy, romance","separated from their wealthy father and each other, two brothers (sanjay dutt, govinda) try to win the hearts of their dream girls.",David Dhawan,"Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra"
tt1883121,404: Error Not Found,2011,"drama, mystery, thriller",a brilliant student starts hallucinating after moving into a room that was occupied by another who committed suicide.,Prawaal Raman,"Rajvvir Aroraa, Imaaduddin Shah, Nishikant Kamat, Ruchir Raj"
tt13245502,Dj Tillu,2022,"action, comedy, crime","a lazy young man spends his time chasing girls, until an incident changes his life forever.",Vimal Krishna,"Neha Shetty, Sidhu Jonnalagadda, Pragathi, Brahmaji"
tt7722258,Genius,2018,"action, thriller","an orphan, with a brilliant mind, joins raw and is burdened by the killing of his entire team. until he doesn't avenge their death, he can't live in peace with his love. so, he hatches a genius plan.",Anil Sharma,"Utkarsh Sharma, Ishita Chauhan, Mithun Chakraborty, Ayesha Jhulka"
tt10731264,Suraj Pe Mangal Bhari,2020,comedy,"in the 1990s, a wedding detective has to perform background checks on prospective grooms. in the time before social media and mobile phones, everything has to be done in person.",Abhishek Sharma,"Manoj Bajpayee, Karishma Tanna, Fatima Sana Shaikh, Abhishek Banerjee"
tt0085138,Adi Shankaracharya,1983,"biography, drama",the first indian movie to be made in sanskrit. the movie follows the life and times of adi shankaracharya - the founder of the non-duality (advaita) school of indian philosophy. the ... see full summary »,G.V. Iyer,"Sarvadaman Banerjee, M.V. Narayana Rao, Manjunath Bhatt, Leela Narayana Rao"
tt7340684,The Final Exit,2017,horror,"caught in a surreal maze, a man tries to decode the mysterious hallucinations he's experiencing.",Dhwanil Mehta,"Kunaal Roy Kapur, Mukesh Hariawala, Elena Kazan, Reyhna Malhotra"
tt21627952,Dec,2023,"horror, thriller",finding medicine for breathing issues that newborn baby's facing in some parts of the state of karnataka due to some environmental problems.,Nagaraj 'MG' Gowda,"Appu Badiger, Rakesh Bhoumik, Jagadeesha H G Doddi, Ravi K R Pete"
tt5219770,Dev Bhoomi,2016,drama,"after a long exile, rahul returns to his village in the himalayas. it causes commotion amongst the villagers, who have never forgiven him for his sins in the past.",Goran Paskaljevic,"Victor Banerjee, Geetanjali Thapa, Uttara Baokar, Raj Zutshi"
tt15731658,Bull,2023,"action, drama",inspired by the real-life events of brigadier bulsara of indian army.,Sangeeth Sivan,"Shahid Kapoor, Parth Siddhpura"
tt9179426,Satellite Shankar,2019,"action, drama",the extraordinary journey of a soldier that brought a nation together. it stars sooraj pancholi and megha akash in the lead roles and is directed by irfan kamal.,Irfan Kamal,"Sooraj Pancholi, Anil Reji, Saurabh Agnihotri, Megha Akash"
tt0157339,Baton Baton Mein,1979,"comedy, romance","nancy and tony meet regularly on their daily commute to work and gradually fall in love. but when tony shows reluctance toward marriage, nancy's mother starts looking for a groom for her daughter.",Basu Chatterjee,"Amol Palekar, Tina Ambani, Govardhan Asrani, David Abraham"
tt15944190,Soorya,,"crime, drama, thriller",a retired police officer with adept investigative skills accidentally gets involved in a crime case after his ex-wife's unexpected demise.,M. Padmakumar,"Sunny Deol, Ravi Kishan, Tanushree Chakraborty, Virti Vaghani"
tt1034449,Kidnap,2008,"action, crime, drama",a kidnapper has to settle a personal score with an influential businessman whose daughter he has kidnapped.,Sanjay Gadhvi,"Sanjay Dutt, Imran Khan, Minissha Lamba, Vidya Malvade"
tt0338477,Talaash: The Hunt Begins...,2003,"action, crime, drama",#name?,Suneel Darshan,"Rakhee Gulzar, Akshay Kumar, Kareena Kapoor, Pooja Batra"
tt1785333,Chittagong,2012,"action, drama, war","school kids organize an armed revolt in the 1930s in british occupied chittagong. there are casualties on both sides. later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the british.",Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia"
tt7720922,Batti Gul Meter Chalu,2018,drama,"the life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening.",Shree Narayan Singh,"Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma, Yami Gautam"
tt27447678,Genie,2023,"action, fantasy",add a plot,Bhuvanesh Arjunan,"Wamiqa Gabbi, Jayam Ravi, Krithi Shetty, Kalyani Priyadarshan"
tt2571140,Boss,2013,"action, comedy, crime","after his younger son falls prey to a corrupt police officer, an honest old man summons his estranged elder son to save the day.",Anthony D'Souza,"Akshay Kumar, Shiv Panditt, Mithun Chakraborty, Ronit Roy"
tt3949638,Power,2014,"action, comedy, crime",a young man desperate to become a police officer ends up getting embroiled in a plot to pose as his lookalike in order to re-capture an infamous criminal.,K.S. Ravindra,"Ravi Teja, Hansika Motwani, Regina Cassandra, Brahmanandam"
tt11804356,Tsunami,,"drama, thriller",23 million people should be evacuated in 2 hours.,Madhu Sudhanan,Spencer Patwal
tt0420304,Viruddh... Family Comes First,2005,"drama, family",an ordinary 60 plus couple - vidhyadhar patwardhan and his wife are forced to search for their faith in human values and society after the death of their only son amar. in the process they undergo the most testing struggle of their lives.,Mahesh Manjrekar,"Amitabh Bachchan, Sharmila Tagore, John Abraham, Sanjay Dutt"
tt0444913,Tango Charlie,2005,"action, adventure, drama","tarun chauhan, a rookie army officer undergoes ups and downs in his mission and learns the true meaning of 'war' to overcome his weaknesses.",Mani Shankar,"Ajay Devgn, Bobby Deol, Sanjay Dutt, Suniel Shetty"
tt3611266,Bank Chor,2017,"action, comedy, crime","a comic-caper, that tells the story of 3 morons trying to rob a bank who pick the worst day possible when everything that can go wrong, goes wrong and how they're inadvertently caught in the crossfire.",Bumpy,"Riteish Deshmukh, Vivek Oberoi, Rhea Chakraborty, Sahil Vaid"
tt2341766,Nautanki Saala!,2013,"comedy, drama, romance","ram, a successful theatre artist, saves mandar from committing suicide. he then ends up developing a special bond with mandar and even helps solve his problems.",Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Gaelyn Mendonca"
